id,nome,latitude,longitude,status
1,Ponto A1,-22.9000,-43.2000,ativo
2,Ponto A2,-22.9005,-43.2005,ativo
3,Ponto A3,-22.9010,-43.2010,ativo
4,Ponto A4,-22.9015,-43.2015,ativo
5,Ponto A5,-22.9020,-43.2020,ativo
6,Ponto A6,-22.9025,-43.2025,ativo
7,Ponto A7,-22.9030,-43.2030,ativo
8,Ponto A8,-22.9035,-43.2035,ativo
9,Ponto A9,-22.9040,-43.2040,ativo
10,Ponto A10,-22.9045,-43.2045,ativo
11,Ponto A11,-22.9050,-43.2050,ativo
12,Ponto A12,-22.9055,-43.2055,ativo
13,Ponto A13,-22.9060,-43.2060,ativo
14,Ponto A14,-22.9065,-43.2065,ativo
15,Ponto A15,-22.9070,-43.2070,ativo
16,Ponto A16,-22.9075,-43.2075,ativo
17,Ponto A17,-22.9080,-43.2080,ativo
18,Ponto A18,-22.9085,-43.2085,ativo
19,Ponto A19,-22.9090,-43.2090,ativo
20,Ponto A20,-22.9095,-43.2095,ativo
21,Ponto A21,-22.9100,-43.2100,ativo
22,Ponto A22,-22.9105,-43.2105,ativo
23,Ponto A23,-22.9110,-43.2110,ativo
24,Ponto A24,-22.9115,-43.2115,ativo
25,Ponto A25,-22.9120,-43.2120,ativo
26,Ponto A26,-22.9125,-43.2125,ativo
27,Ponto A27,-22.9130,-43.2130,ativo
28,Ponto A28,-22.9135,-43.2135,ativo
29,Ponto A29,-22.9140,-43.2140,ativo
30,Ponto A30,-22.9145,-43.2145,ativo
31,Ponto A31,-22.9150,-43.2150,ativo
32,Ponto A32,-22.9155,-43.2155,ativo
33,Ponto A33,-22.9160,-43.2160,ativo
34,Ponto A34,-22.9165,-43.2165,ativo
35,Ponto A35,-22.9170,-43.2170,ativo
36,Ponto A36,-22.9175,-43.2175,ativo
37,Ponto A37,-22.9180,-43.2180,ativo
38,Ponto A38,-22.9185,-43.2185,ativo
39,Ponto A39,-22.9190,-43.2190,ativo
40,Ponto A40,-22.9195,-43.2195,ativo
41,Ponto A41,-22.9200,-43.2200,ativo
42,Ponto A42,-22.9205,-43.2205,ativo
43,Ponto A43,-22.9210,-43.2210,ativo
44,Ponto A44,-22.9215,-43.2215,ativo
45,Ponto A45,-22.9220,-43.2220,ativo
46,Ponto A46,-22.9225,-43.2225,ativo
47,Ponto A47,-22.9230,-43.2230,ativo
48,Ponto A48,-22.9235,-43.2235,ativo
49,Ponto A49,-22.9240,-43.2240,ativo
50,Ponto A50,-22.9245,-43.2245,ativo
51,Ponto A51,-22.9250,-43.2250,ativo
52,Ponto A52,-22.9255,-43.2255,ativo
53,Ponto A53,-22.9260,-43.2260,ativo
54,Ponto A54,-22.9265,-43.2265,ativo
55,Ponto A55,-22.9270,-43.2270,ativo
56,Ponto A56,-22.9275,-43.2275,ativo
57,Ponto A57,-22.9280,-43.2280,ativo
58,Ponto A58,-22.9285,-43.2285,ativo
59,Ponto A59,-22.9290,-43.2290,ativo
60,Ponto A60,-22.9295,-43.2295,ativo
61,Ponto A61,-22.9300,-43.2300,ativo
62,Ponto A62,-22.9305,-43.2305,ativo
63,Ponto A63,-22.9310,-43.2310,ativo
64,Ponto A64,-22.9315,-43.2315,ativo
65,Ponto A65,-22.9320,-43.2320,ativo
66,Ponto A66,-22.9325,-43.2325,ativo
67,Ponto A67,-22.9330,-43.2330,ativo
68,Ponto A68,-22.9335,-43.2335,ativo
69,Ponto A69,-22.9340,-43.2340,ativo
